부처,SEED_ID(솔루션),SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_DateFormat,content_Body,content_Files,content_File_url,
과학기술정보통신부,750,20012,국가과학기술연구회,사업공고,http://www.nst.re.kr/nst/notice/01_03.jsp,X,,,,div.jwxe_board ul.boardList > li,a dl dt,a p.date span,YYYY.MM.DD,,,,a태그 부모요소에 있음,,,,,,,,,
과학기술정보통신부,356,20013,연구성과실용화진흥원,공지사항,https://www.compa.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_AAAAAAAAAAAA,X,,,,#boardDiv > table tr > td[align=left] table,span.link > a,td > p,YYYY-MM-DD,,,onclick,부모요소에 폼태그 submit,,,,,,,,,파일명 수정필요
과학기술정보통신부,361,20014,한국표준과학연구원,안내사항,http://www.kriss.re.kr/information/inform_notice_list.do,X,,,,div.board_list table > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,,href=javascript,"javascript:goDetail(2641, 5)",,,,,,,,,
과학기술정보통신부,362,20015,한국한의학연구원,공지사항,https://www.kiom.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_d7GWpghE0eM6NOITzZFwaw&menu_nix=7eb3O1lV,X,,,,div.contentDetail form table.tableBoard > tbody > tr,td.ellipsis a span,td.date,YYYY-MM-DD,,,href=javascript,javascript:fn_egov_brd_view('576'),,,,,,,,,
과학기술정보통신부,,20016,한국한의학연구원,입찰공고,https://www.kiom.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_eDw708IzDO8nJ21Z7w0J81&menu_nix=Pex87OF4,X,추가,,,div.contentDetail form table.tableBoard > tbody > tr,td.ellipsis a span,td.date,YYYY-MM-DD,,,href=javascript,javascript:fn_egov_brd_view('702'),,,,,,,,,
과학기술정보통신부,,20017,한국항공우주연구원,과제공고,https://kpms.kari.re.kr/project/announcement.do,X,수정,NoDate,X,,,,,,,,,,,,,,,,,
과학기술정보통신부,751,20018,한국항공우주연구원,공지사항,http://www.kari.re.kr/cop/bbs/BBSMSTR_000000000001/selectBoardList.do,X,추가,ModifyDate,,#contents > ul > li,p.subject a,p.infor span.date,작성일YYYY-MM-DD,,작성일YYYY-MM-DD,https://www.kari.re.kr,,#contents > div.board_view > h4,,,,,#contents > div.board_view > div,javascript,,"파일오픈, href=""javascript:fn_egov_downFile('FILE_000000000005623','0')"""
과학기술정보통신부,364,20019,연구개발특구진흥재단,공지사항,https://www.innopolis.or.kr/sub0401,X,,타이틀에 최신글에 New 표시,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,752,20020,연구개발특구진흥재단,사업공고,https://www.innopolis.or.kr/sub0402,X,,,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,,20021,연구개발특구진흥재단,입찰공고,https://www.innopolis.or.kr/sub0403,X,추가,,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,366,20022,한국기계연구원,공지사항,https://www.kimm.re.kr/notice,X,,,,table.board > tbody > tr,td.left a,td:nth-of-type(4),YYYY-MM-DD,,,https://www.kimm.re.kr,,#contents thead > tr:nth-of-type(1) > th,,,,,#contents tbody > tr:nth-of-type(1) > td,onclick,,"onclick=""location.replace('/attach/filedownloads/do_down/no/1557/tm/28f68a0230aac1a07ebb98abdca4a314'); return false;"""
과학기술정보통신부,,20023,한국기계연구원,입찰공고,https://www.kimm.re.kr/bidding,X,추가,,,table.board > tbody > tr,td.left a,td:nth-of-type(6),YYYY-MM-DD,,,https://www.kimm.re.kr,,#contents thead > tr:nth-of-type(2) > td,,,#contents thead > tr:nth-of-type(5) > td:nth-of-type(1),,emptyBody,onclick,,"onclick=""location.replace('/bidding/bid_notice/filedown/id/1812/field/attach1');"
과학기술정보통신부,367,20024,한국식품연구원,공지사항,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000073&menuId=MNU_0000000000000319,X,,,,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,,http://www.kfri.re.kr,,#contents div.view_tit > span,,,,,#contents div.view_cont,#contents div.view_download > p > a,http://www.kfri.re.kr,
과학기술정보통신부,,20025,한국식품연구원,구매(입찰)정보,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000066&menuId=MNU_0000000000000321,X,추가,,,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,,http://www.kfri.re.kr,,#contents div.view_tit > span,,,,,#contents div.view_cont,#contents div.view_download > p > a,http://www.kfri.re.kr,
과학기술정보통신부,368,20026,한국전기연구원,공지사항,http://www.keri.re.kr/_prog/_board/?code=sub0501&site_dvs_cd=kr&menu_dvs_cd=0501,X,,utf-8,,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,http://www.keri.re.kr/_prog/_board,,#txt > div.board_viewTit > h4,,,,,#txt > div.board_viewDetail,#txt > ul > li.file > div > a,http://www.keri.re.kr/_prog/_board/,타이틀에 '제 목' 있음
과학기술정보통신부,369,20027,한국에너지기술연구원,안내사항,http://www.kier.re.kr/information/notice_list.jsp,X,,,,table.tbl_list > tbody > tr,td.tl a,td:nth-of-type(4),YYYY-MM-DD,,,href=javascript,"href=""javascript:goUrl('notice_view.jsp', 15527, document.rwform)""",,,,,,,,,
과학기술정보통신부,373,20028,한국지질자원연구원,공지사항,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_62Ouf5d9Lv0syV9Yi1B11m&menu_nix=7y84E29F,X,,타이틀에 … 표시,,table.tstyle_list > tbody > tr,td.ellipsis a span,td:nth-of-type(4),YYYY-MM-DD,,,href=javascript,"href=""javascript:fn_egov_brd_view('474')""",,,,,,,,,
과학기술정보통신부,,20029,한국지질자원연구원,입찰정보,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_ztTAx322wRtl07OmBqx7X6&menu_nix=U62kj103,X,추가,"NoDate, 글내용에 등록일 있음",X,,,,,,,,,,,,,,,,,
과학기술정보통신부,374,20030,한국철도기술연구원,입찰공고,http://www.krri.re.kr/_prog/_board/?code=sub06_060501&site_dvs_cd=kr&menu_dvs_cd=060501,X,,utf-8,,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,,http://www.krri.re.kr/_prog/_board,,#txt > article > div > h2 > span.tit,,#txt ul.board_viewInfo > li:nth-of-type(4),#txt ul.board_viewInfo > li:nth-of-type(4),YYYY-MM-DD~YYYY-MM-DD,#txt > article > div > div.board_viewDetail,#txt > article > div > ul > li.file > div > a,http://www.krri.re.kr/_prog/_board/,공고기간2018-04-02 ~ 2018-04-10
과학기술정보통신부,753,20031,한국철도기술연구원,공지사항,http://www.krri.re.kr/_prog/_board/?code=sub06_060101&site_dvs_cd=kr&menu_dvs_cd=060101,X,웹크롤링 적용중,utf-8,,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,,http://www.krri.re.kr/_prog/_board,,#txt > article > div.board_view_header > h2 > span.tit,,,,,#txt > article > div > div.board_viewDetail,#txt > article > div.board_view_header > ul > li.file > div > a,http://www.krri.re.kr/_prog/_board/,
과학기술정보통신부,377,20032,국가수리과학연구소,공지사항,https://www.nims.re.kr/notice/post/notification,X,,요청이 오래걸려서 예외발생할수 있음,,div.content_body div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,https://www.nims.re.kr,,#container > div.content_body > div.board_header > h2,,,,,#container > div.content_body > div.board_body,onclick,,"onclick=""javascript:downLocation('1501523669085_7829.pdf', '2017년 하반기, 2018년 국제 연구교류 프로그램 공모 신청 요강.pdf');"""
