부처,SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_Body,content_Files,content_File_url,
과학기술정보통신부,,한국한의학연구원,입찰공고,https://www.kiom.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_eDw708IzDO8nJ21Z7w0J81&menu_nix=Pex87OF4,X,추가,,,div.contentDetail form table.tableBoard > tbody > tr,td.ellipsis a span,td.date,YYYY-MM-DD,,,javascript:fn_egov_brd_view('702'),,,,,,,,,
과학기술정보통신부,,한국항공우주연구원,과제공고,https://kpms.kari.re.kr/project/announcement.do,X,수정,NoDate,X,,,,,,,,,,,,,,,,
과학기술정보통신부,751,한국항공우주연구원,공지사항,http://www.kari.re.kr/cop/bbs/BBSMSTR_000000000001/selectBoardList.do,X,추가,ModifyDate,,#contents > ul > li,p.subject a,p.infor span.date,작성일YYYY-MM-DD,,작성일YYYY-MM-DD,https://www.kari.re.kr,,#contents > div.board_view > h4,,,,#contents > div.board_view > div,,,파일오픈
과학기술정보통신부,364,연구개발특구진흥재단,공지사항,https://www.innopolis.or.kr/sub0401,X,,타이틀에 최신글에 New 표시,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,752,연구개발특구진흥재단,사업공고,https://www.innopolis.or.kr/sub0402,X,,,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,,연구개발특구진흥재단,입찰공고,https://www.innopolis.or.kr/sub0403,X,추가,,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,,https://www.innopolis.or.kr,,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,,,,#contents,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
과학기술정보통신부,366,한국기계연구원,공지사항,https://www.kimm.re.kr/notice,X,,,,table.board > tbody > tr,td.left a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,,한국기계연구원,입찰공고,https://www.kimm.re.kr/bidding,X,추가,,,table.board > tbody > tr,td.left a,td:nth-of-type(6),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,367,한국식품연구원,공지사항,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000073&menuId=MNU_0000000000000319,X,,,,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,,,,,,,,,,,
과학기술정보통신부,,한국식품연구원,구매(입찰)정보,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000066&menuId=MNU_0000000000000321,X,추가,,,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,,,,,,,,,,,
